results for experiment 3 at timestamp 2018     4    18     0     8    33
samp#		order		kappa		exact		rational		time		chebyshev		time
26		15		11.50		3262.18522		3259.24324		0.11113		3262.60684		0.00651
26		15		15.00		3171.70930		3166.84019		0.10491		3173.11408		0.00628
26		16		1.00		Inf		NaN		20.75412		NaN		0.90323
26		16		4.50		3832.74811		3831.50538		0.11430		3828.90670		0.00685
26		16		8.00		3426.85214		3426.18190		0.11302		3419.01154		0.00740
26		16		11.50		3262.18522		3261.02791		0.10877		3265.13479		0.00694
26		16		15.00		3171.70930		3172.13484		0.11369		3178.65447		0.00854
34		12		1.00		Inf		NaN		18.79933		NaN		0.81538
34		12		4.50		3832.74811		3834.15443		0.11342		3834.09632		0.00907
34		12		8.00		3426.85214		3426.42679		0.13402		3425.67867		0.01120
34		12		11.50		3262.18522		3264.88085		0.11577		3266.85744		0.00970
34		12		15.00		3171.70930		3177.13466		0.12206		3172.72541		0.01037
34		13		1.00		Inf		NaN		20.75009		NaN		0.86734
34		13		4.50		3832.74811		3829.06460		0.11259		3834.11780		0.00852
34		13		8.00		3426.85214		3423.90733		0.11474		3421.76962		0.00849
34		13		11.50		3262.18522		3257.09582		0.10965		3265.07681		0.00816
34		13		15.00		3171.70930		3175.81152		0.10967		3170.70064		0.00837
34		14		1.00		Inf		NaN		21.69284		NaN		0.93745
34		14		4.50		3832.74811		3831.46908		0.12458		3834.02421		0.00820
34		14		8.00		3426.85214		3425.97367		0.11826		3426.85721		0.00895
34		14		11.50		3262.18522		3263.76153		0.12131		3254.16930		0.00761
34		14		15.00		3171.70930		3173.22536		0.11099		3174.21901		0.00920
34		15		1.00		Inf		NaN		23.56570		NaN		1.01601
34		15		4.50		3832.74811		3830.87937		0.12970		3831.96077		0.01187
34		15		8.00		3426.85214		3425.11784		0.15608		3427.82921		0.01287
34		15		11.50		3262.18522		3260.40590		0.15255		3259.32238		0.00886
34		15		15.00		3171.70930		3176.78062		0.14545		3172.82873		0.01138
34		16		1.00		Inf		NaN		26.60367		NaN		1.07191
34		16		4.50		3832.74811		3833.76795		0.13174		3830.41618		0.00902
34		16		8.00		3426.85214		3425.52081		0.13154		3439.31147		0.00999
34		16		11.50		3262.18522		3258.70906		0.13335		3262.97911		0.01053
34		16		15.00		3171.70930		3174.00706		0.20073		3170.12266		0.01489
42		12		1.00		Inf		NaN		22.49105		NaN		0.99603
42		12		4.50		3832.74811		3831.28687		0.12680		3836.73834		0.01445
42		12		8.00		3426.85214		3421.62118		0.11571		3426.64020		0.00848
42		12		11.50		3262.18522		3262.38581		0.11924		3254.37524		0.00952
42		12		15.00		3171.70930		3171.19074		0.11489		3168.17148		0.01035
42		13		1.00		Inf		NaN		25.09729		NaN		1.06134
42		13		4.50		3832.74811		3830.76652		0.12872		3825.44020		0.00984
42		13		8.00		3426.85214		3434.11504		0.12275		3426.01229		0.01040
42		13		11.50		3262.18522		3267.58291		0.13294		3256.97657		0.00923
42		13		15.00		3171.70930		3172.71239		0.12412		3171.14509		0.01001
42		14		1.00		Inf		NaN		25.96698		NaN		1.14040
42		14		4.50		3832.74811		3832.54246		0.13730		3828.88622		0.01159
42		14		8.00		3426.85214		3428.08323		0.13104		3428.74446		0.00975
